Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_3984	dhaB4	232.89328938307003	-1.3141587299716	-2.41039653765575	0.12422883374931401	-0.39560119678513384	-2.112543785	-3.853613705	0.004256308	-0.6359390464385205
VK055_4033	qseC	83.2571015656172	-1.80956859207208	-2.1993119674386903	0.17684613148822603	-0.5447344254251348	-3.04579394	-3.647237052	0.008030484000000001	-0.9168753365515802
VK055_4086	-	123.29013358286899	-1.6514904739618301	-2.64733611077724	0.0829824736059059	-0.49714817021583596	-2.290169485	-3.645593508	0.008030484000000001	-0.689409710139332
VK055_4247	-	12.313200261684502	-1.8605692439969999	-1.4330437368203202	0.432770701772335	-0.5600871514529536	-6.193006302000001	-3.589857233	0.009214426999999999	-1.8642806602380684
VK055_4270	-	28.3094783709258	-2.54045581700004	-1.9935148959402498	0.237764903056716	-0.7647534035760579	-4.403350034	-3.2898449160000003	0.021959087999999998	-1.3255404416420113
VK055_4326	cobB	102.45297347661501	-1.7622437032161102	-2.63568367632357	0.0846388979224854	-0.5304882143380238	-2.01983523	-3.01253338	0.043424828	-0.6080309905288565
VK055_4362	-	41.0562944840748	-2.59039504579428	-2.7004537435820097	0.0752821983567823	-0.7797866094034505	-3.515590422	-3.5844501789999996	0.009341978	-1.0582981694909939
VK055_4363	-	72.8315315813615	-1.6010998753408199	-2.3428239310120897	0.14176727844128198	-0.4819790885314479	-2.1515066640000002	-3.12289334	0.033577994	-0.6476680417349467
VK055_4424	-	71.86643808661091	-1.00754385494792	-1.1338014908424698	0.560766852436873	-0.3033009222862433	-3.373018324	-3.687356765	0.006963093	-1.0153796914482491
VK055_4485	recA	10.6907171514348	-3.4542979573313906	-1.8576446407965201	0.282869937276575	-1.0398472991175676	-7.188398276	-3.36667695	0.017812323999999997	-2.16392350185525
VK055_4559	-	48.0587643500878	-0.6248179173107541	-0.93914820875093	0.650465766853916	-0.18808893493883405	-2.256405389	-3.276072848	0.02272106	-0.6792457044668538
VK055_5013	-	13.3076377974881	-4.719906670725161	-2.7802573672997797	0.0643804385281385	-1.420833484622791	-7.5775540139999995	-3.916230837	0.0034912520000000002	-2.281071051978003
VK055_5045	hisG	8.81551824929969	-4.55026338122465	-2.30915821613634	0.15039184492207	-1.3697657659200289	-6.977355247999999	-3.266720274	0.022977814	-2.100393220051496
