Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_3229	argC	391.678766382861	-2.18304434803685	-3.56257054124905	0.00973773916582475	-0.6571618306238117	-1.6975579969999999	-2.775115523	0.069943248	-0.5110158764762666
VK055_3258	cpxA	65.19594503772029	-2.8274593747624097	-2.9083682253352006	0.0499175656355957	-0.8511500833248112	-1.811605109	-1.88361589	0.295414342	-0.5453474781071163
VK055_3336	atpD	10.9522661943284	-7.156092383785759	-3.63914857477666	0.00770916547703419	-2.154198459262076	-2.9074478139999997	-1.7770489740000002	0.3320296	-0.8752290028416716
VK055_3344	pstA	8.5359769086413	-6.9010937511676005	-3.1649254716173703	0.0278351601081951	-2.0774362219907103	-4.298928432	-2.153698169	0.207099604	-1.2941064072447255
VK055_3357	trmE	18.5437190277109	-8.016874427090679	-4.5047781434794905	0.000345749224515702	-2.413319674025789	-4.210855825	-2.942645321	0.050882968	-1.2675939107414
VK055_3530	selA	96.4939888332731	-2.7769521578399505	-3.7758262276248904	0.00518677757767993	-0.8359458960336436	-1.536110035	-2.119553943	0.21307395199999998	-0.462415197175448
VK055_3592	pqqL	172.94121466855597	-2.6723626282228703	-5.049768566970849	3.0691415076578e-05	-0.804461310386516	-1.4011209709999999	-2.6886934019999997	0.082876055	-0.4217794398248431
VK055_3600	-	52.741034072980696	-2.9821027174974306	-3.7104405348277	0.0061522863846523	-0.8977023681177981	-0.968679836	-1.251885811	0.547243558	-0.29160168683086596
VK055_3641	ftsE	9.78259521314399	-7.119100113332309	-3.4541907457861902	0.0134878658717172	-2.1430626762478733	-4.711827455	-2.495150806	0.11679737300000001	-1.4184013983480774
VK055_3668	-	117.62130276605801	-2.30687957900115	-3.96844779336798	0.00281458878474407	-0.694439949664043	-1.644982334	-2.85552383	0.059044752	-0.49518902487134564
VK055_3706	-	16.4272128632702	-5.88947432709206	-3.69280955743545	0.00645672901428841	-1.7729084311476515	-3.06986221	-2.3940966969999997	0.136750894	-0.9241206077653198
VK055_3862	-	59.6662236333504	-3.5361823160707004	-3.7597220122232997	0.0054471979385098705	-1.06449694727381	-1.611203318	-1.765620335	0.336367595	-0.48502052783133215
VK055_3887	-	22.2290177762784	-5.6422486019626295	-2.97606774782827	0.0437220354509162	-1.6984860721839143	2.477212432	1.662479887	0.37164061299999995	0.7457152476637203
VK055_3941	-	12.115399591468199	-7.15028280906533	-4.1290623679142895	0.0015632519852787198	-2.1524496030091758	-1.952900806	-1.4918383259999999	0.44530252	-0.5878817211623654
VK055_3963	-	35.206157256664206	-2.77987737781352	-3.24593083316975	0.0227734149281457	-0.8368264749896033	-1.4797898230000002	-1.7830665209999998	0.330154955	-0.44546112400129356
VK055_3972	dhaL	16.090942179046	-3.5897747826245694	-3.05066644000517	0.036986568159106004	-1.0806298872481432	-1.7679875180000002	-1.6168864040000002	0.39215055	-0.5322172748775129
VK055_3994	-	9.19408530089652	-6.940998355283099	-3.1238097095249397	0.0307108763139414	-2.089448704794572	-3.307881222	-1.685349208	0.36220069899999996	-0.9957714699156247
VK055_4028	-	73.6224363600657	-2.73521152051128	-3.0805176875988503	0.0340018505645083	-0.823380712159582	-2.175893282	-2.466699384	0.123145751	-0.6550091452457458
VK055_4135	serA	51.4226745986367	-4.74589071777054	-3.4358250580493905	0.0140323007353657	-1.4286554621921943	-2.369459899	-1.778356165	0.331414806	-0.7132785031219474
VK055_4273	lysA	96.92690892147141	-4.974632002246019	-6.25304367386904	7.61695616315325e-08	-1.4975134500660212	-2.1733619930000003	-2.947281155	0.050304024	-0.6542471513290516
VK055_4296	recB	14.1382806579712	-7.6441123595726	-3.9377197904744	0.0031417119767956103	-2.301107110457125	-4.629913242	-2.7450515980000003	0.073823981	-1.393742763163869
VK055_4388	-	308.948689247588	-3.1006928144889505	-4.44102557595239	0.000454534372248293	-0.9334015445009464	-1.850451576	-2.6661214859999998	0.086838598	-0.5570414298996872
VK055_4409	ygbO	53.404316591722704	-3.3293082066040296	-4.365209556512791	0.0006279814068224901	-1.0022216349980682	-0.833835588	-1.160855451	0.578583635	-0.2510095234401132
VK055_4417	-	16.6389227087509	-5.4051221546967	-3.0070367587686606	0.0406752638581807	-1.6271038987916364	-0.7652930109999999	-0.513115379	0.846108302	-0.2303761517830051
VK055_4418	bsdB	21.7606263378382	-4.27058924155984	-3.03016154900441	0.0383974637795104	-1.2855754608694034	-1.899134986	-1.4377899630000002	0.46950495600000003	-0.571696596600895
VK055_4467	hypF	95.61516293158128	-2.76483259904742	-2.95001833669025	0.0456142881779547	-0.8322975453028787	0.141279195	0.153883819	0.9622964420000001	0.04252927545826076
VK055_4483	-	28.7990813077558	-4.07863160342104	-3.8292509755982103	0.00438595502973992	-1.2277904538928124	-0.976632935	-1.014402244	0.63444561	-0.29399580818835125
VK055_4506	ygaZ	23.0568574914697	-2.9088795153073597	-3.1999238945858903	0.0255474167022873	-0.8756599878800182	-0.598431477	-0.711736114	0.765999568	-0.18014582492649986
VK055_4547	-	34.2954207055354	-4.023039164133491	-3.30915618258887	0.0197748037092177	-1.2110554621351313	-0.724054625	-0.635935331	0.7973528540000001	-0.21796216062423548
VK055_4557	smpB	19.7552443969959	-5.13116136238279	-3.4287050623634396	0.0142639948033595	-1.5446334826692791	-3.547845824	-2.5727440109999997	0.103922165	-1.0680080130151937
VK055_4560	smpA	79.5588206785633	-3.77681703738244	-5.20967241886059	1.4583940076270801e-05	-1.1369352163868862	-0.769269984	-1.132392199	0.589091471	-0.23157333994795087
VK055_4623	glnB	65.778964677121	-2.7012375140517597	-3.55371206926201	0.009944983355472491	-0.8131535171423846	0.42121441	0.583049414	0.819954795	0.12679817201590637
VK055_4779	-	127.187856655493	-2.2444065398765	-4.18835509989618	0.0012443987490377401	-0.6756336909672338	-1.106662781	-2.097305032	0.21891626399999997	-0.3331386921659194
VK055_4806	-	17.3071516917311	-4.7933071158413	-3.11417342920452	0.031601286735179	-1.4429292202978365	-2.114262857	-1.5219572419999998	0.432326741	-0.6364565386752264
